endereco;valor;area;quartos;vagas;banheiros;pagina
Perdizes, São Paulo - SP;522921.0;38;2;1;2;6
Rua Paracuê, 181 - Perdizes, São Paulo - SP;348000.0;27;1;0;1;6
Rua Apinajés, 931 - Perdizes, São Paulo - SP;760000.0;67;2;2;2;6
Rua Aimberê - Perdizes, São Paulo - SP;1850000.0;157;4;2;5;6
Perdizes, São Paulo - SP;760000.0;70;2;1;1;6
Rua Tucuna, 88 - Perdizes, São Paulo - SP;848240.0;60;2;1;2;6
Avenida Pompéia, 713 - Perdizes, São Paulo - SP;220600.0;24;1;0;1;6
Rua Aimberê, 2033 - Perdizes, São Paulo - SP;1850000.0;157;4;2;5;6
Rua Aimberê, 2050 - Perdizes, São Paulo - SP;1678000.0;157;3;2;5;6
Rua Lincoln Albuquerque - Perdizes, São Paulo - SP;8500.0;206;3;4;5;6
Rua Monte Alegre, 1299 - Perdizes, São Paulo - SP;1800000.0;220;3;2;3;6
Rua Turiassu - Perdizes, São Paulo - SP;750000.0;66;2;1;2;6
Rua Tucuna, 88 - Pompeia, São Paulo - SP;0.0;60;2;1;2;6
Rua Aimberê, 1405 - Perdizes, São Paulo - SP;1218000.0;116;3;3;2;6
Rua Caraíbas - Perdizes, São Paulo - SP;1261622.0;91;2;2;2;6
Rua Aimberê, 2033 - Perdizes, São Paulo - SP;1810000.0;157;4;2;5;6
Rua Bartira, 238 - Perdizes, São Paulo - SP;840000.0;63;2;1;2;6
Rua Wanderley - Perdizes, São Paulo - SP;2200000.0;189;4;4;5;6
Rua Havaí, 63 - Perdizes, São Paulo - SP;1750000.0;130;3;3;5;6
Rua Aimberê, 1405 - Perdizes, São Paulo - SP;0.0;116;3;3;2;6
Rua Caraíbas - Perdizes, São Paulo - SP;890814.0;70;2;1;2;6
Rua Apinajés - Perdizes, São Paulo - SP;499000.0;42;1;1;1;6
Rua Aimberê - Perdizes, São Paulo - SP;1990000.0;157;4;2;5;6
Rua Romano Schiesari - Perdizes, São Paulo - SP;700000.0;63;2;2;2;6
Rua Cardoso de Almeida, 847 - Perdizes, São Paulo - SP;4050000.0;347;4;4;4;6
Perdizes, São Paulo - SP;804068.0;70;2;1;2;6
Rua Apinajés - Perdizes, São Paulo - SP;499000.0;42;1;1;1;7
Rua Cotoxó, 665 - Perdizes, São Paulo - SP;0.0;180;4;3;5;7
Rua Aimberê - Perdizes, São Paulo - SP;1990000.0;157;4;2;5;7
Rua Romano Schiesari - Perdizes, São Paulo - SP;700000.0;63;2;2;2;7
Rua Cardoso de Almeida, 847 - Perdizes, São Paulo - SP;4050000.0;347;4;4;4;7
Rua Professor João Arruda - Perdizes, São Paulo - SP;3700.0;108;3;2;1;7
Perdizes, São Paulo - SP;804068.0;70;2;1;2;7
Rua Caiubi, 601 - Perdizes, São Paulo - SP;2700000.0;212;4;4;6;7
Rua Cotoxó, 665 - Perdizes, São Paulo - SP;0.0;180;3;3;4;7
Rua Ministro Ferreira Alves, 303 - Perdizes, São Paulo - SP;400000.0;32;1;0;1;7
Avenida Francisco Matarazzo, 108 - Perdizes, São Paulo - SP;600000.0;110;2;2;3;7
Rua Apinajés - Perdizes, São Paulo - SP;1290000.0;130;3;2;2;7
Rua Cayowaá - Perdizes, São Paulo - SP;1306000.0;100;3;2;3;7
Rua Minerva, 254 - Perdizes, São Paulo - SP;915000.0;62;2;1;1;7
Rua Aimberê, 2050 - Perdizes, São Paulo - SP;290000.0;27;1;0;1;7
Rua Venâncio Aires, 433 - Pompeia, São Paulo - SP;0.0;38;1;1;2;7
Rua dos Caetés, 100 - Perdizes, São Paulo - SP;5500000.0;266;3;5;4;7
Rua Ministro Ferreira Alves, 303 - Perdizes, São Paulo - SP;342926.0;31;1;0;1;7
Rua Caiubi, 1188 - Perdizes, São Paulo - SP;1250000.0;105;3;3;3;7
Rua Diana - Perdizes, São Paulo - SP;830000.0;78;3;2;2;7
Rua Wanderley - Perdizes, São Paulo - SP;980000.0;118;2;1;3;7
Rua Bartira - Perdizes, São Paulo - SP;690000.0;115;3;2;2;7
Rua Cotoxó, 300 - Perdizes, São Paulo - SP;0.0;140;4;3;5;7
Rua Monte Alegre - Perdizes, São Paulo - SP;3000000.0;230;4;5;6;7
Rua Doutor Homem de Melo - Perdizes, São Paulo - SP;2600.0;91;2;0;2;7
Rua Wanderley, 0 - Perdizes, São Paulo - SP;1950000.0;228;4;3;4;7
Perdizes, São Paulo - SP;2250000.0;157;3;4;4;7
Perdizes, São Paulo - SP;1300000.0;179;4;2;4;7
Rua Caiubi - Perdizes, São Paulo - SP;735000.0;62;2;2;2;7
Rua Havaí, 63 - Perdizes, São Paulo - SP;0.0;90;3;3;4;7
Rua Tucuna, 88 - Perdizes, São Paulo - SP;740000.0;67;2;1;2;7
Rua Apinajés - Perdizes, São Paulo - SP;955000.0;117;3;2;3;7
Rua Diana, 495 - Perdizes, São Paulo - SP;690000.0;57;2;2;2;7
